VA Pharmacy Benefits Management Services,,,,,,
Hines IL,,,,,,
"VA Product Names from National Drug File, Including Recent Changes ",,,,,,
National Formulary Indicator is Omitted for Supplies,,,,,,
,,,,,,
GENERIC,VA_PRODUCT,VA_CLASS,NF_INDICATOR,ITEM_STATUS,PPS Add Date,PPS Delete Date
CAMPHOR/MENTHOL/METHYL NICOTINATE/METHYL SALICYLATE,ABSORBINE ARTHRITIC PAIN LOTION,DE650,N,INACTIVE,10/16/2012,9/17/2009
BENZETHONIUM/CHLOROXYLENOL/MENTHOL/THYMOL/ZINC STEARATE,ABSORBINE JR LINIMENT,DE650,N,ACTIVE,10/16/2012,
DRESSING,ABSORBTIVE DRESSING 6GM #740036,XA199,,ACTIVE,10/16/2012,
ACACIA,ACACIA PWDR,PH000,N,ACTIVE,10/16/2012,
ACAI,ACAI CAP/TAB,HA000,N,ACTIVE,10/16/2012,
ACAI,"ACAI LIQUID,ORAL",HA000,N,ACTIVE,10/16/2012,
ACALABRUTINIB,"ACALABRUTINIB 100MG CAP,ORAL",AN900,Y,ACTIVE,11/17/2017,
ACAMPROSATE,"ACAMPROSATE CA 333MG TAB,EC",AD100,Y,ACTIVE,10/16/2012,
ACARBOSE,ACARBOSE 100MG TAB,HS502,Y,ACTIVE,10/16/2012,
ACARBOSE,"ACARBOSE 100MG TAB,UD",HS502,Y,INACTIVE,10/16/2012,9/28/2007
ACARBOSE,ACARBOSE 25MG TAB,HS502,Y,ACTIVE,10/16/2012,
ACARBOSE,ACARBOSE 50MG TAB,HS502,Y,ACTIVE,10/16/2012,
ACARBOSE,"ACARBOSE 50MG TAB,UD",HS502,Y,ACTIVE,10/16/2012,
ACCESS PIN,"ACCESS PIN,NEEDLE-FREE ALARIS #2200E",XA859,,ACTIVE,10/16/2012,
ACCESS PIN,"ACCESS PIN,NEEDLE-FREE ALARIS #2205E",XA859,,ACTIVE,10/16/2012,
EPINEPHRINE/LIDOCAINE/SODIUM CHLORIDE,ACCU-BLOC CUSTOM EPIDURAL ANESTHESIA,CN204,N,INACTIVE,10/16/2012,1/14/1999
BUPIVACAINE/EPINEPHRINE,ACCU-BLOC PERIFIX,CN204,N,INACTIVE,10/16/2012,1/14/1999
BUPIVACAINE/EPINEPHRINE/LIDOCAINE/SODIUM CHLORIDE,ACCU-BLOC PERIFIX CONTINUOUS EPIDURAL ANESTHESIA,CN204,N,INACTIVE,10/16/2012,1/14/1999
BUPIVACAINE/EPINEPHRINE,ACCU-BLOC PERIFIX CUSTOM EPIDURAL ANESTHESIA,CN204,N,INACTIVE,10/16/2012,1/14/1999
LIDOCAINE,ACCU-BLOC PLEXUFIX BRACHIAL PLEXUS ANESTHESIA KIT,CN204,N,INACTIVE,10/16/2012,1/14/1999
DEXTROSE/LIDOCAINE/TETRACAINE,ACCU-BLOC SPINOCAN CUSTOM SPINAL TRAY SSK,CN204,N,INACTIVE,10/16/2012,1/14/1999
LIDOCAINE,ACCU-BLOC SPINOCAN CUSTOM SPINAL TRAY SSK S15,CN204,N,INACTIVE,10/16/2012,1/14/1999
BUPIVACAINE/DEXTROSE/EPINEPHRINE/LIDOCAINE,ACCU-BLOC SPINOCAN SPINAL TRAY S22B-K,CN204,N,INACTIVE,10/16/2012,1/14/1999
DEXTROSE/EPINEPHRINE/LIDOCAINE,ACCU-BLOC SPINOCAN SPINAL TRAY S25L-K,CN204,N,INACTIVE,10/16/2012,1/14/1999
LIDOCAINE/SODIUM CHLORIDE,ACCU-BLOCK KIT,CN204,N,INACTIVE,10/16/2012,1/14/1999
GLUCOSE CONTROL,ACCU-CHECK COMPACT BLUE (GLUCOSE) HI/NORM CONTROL SOLN,DX900,N,ACTIVE,10/16/2012,
GLUCOSE CONTROL,ACCU-CHEK ACTIVE (GLUCOSE) HI/LO CONTROL SOLN,DX900,N,INACTIVE,10/16/2012,5/13/2016
GLUCOSE TEST,ACCU-CHEK ACTIVE (GLUCOSE) TEST STRIP,DX900,Y,ACTIVE,10/16/2012,
GLUCOSE CONTROL,ACCU-CHEK AVIVA (GLUCOSE) 1-2 CONTROL SOLN,DX900,Y,ACTIVE,10/16/2012,
GLUCOSE TEST,ACCU-CHEK AVIVA (GLUCOSE) METER,DX900,Y,ACTIVE,10/16/2012,
GLUCOSE TEST,ACCU-CHEK AVIVA (GLUCOSE) TEST STRIP,DX900,Y,ACTIVE,10/16/2012,
GLUCOSE TEST,ACCU-CHEK AVIVA PLUS (GLUCOSE) TEST STRIP,DX900,Y,ACTIVE,10/16/2012,
GLUCOSE CONTROL,ACCU-CHEK COMFORT CURVE (GLUCOSE) HI/LO CONTROL SOLN,DX900,Y,ACTIVE,10/16/2012,
GLUCOSE CONTROL,ACCU-CHEK COMFORT CURVE (GLUCOSE) HI/MED/LO CONTROL SOLN,DX900,Y,ACTIVE,10/16/2012,
GLUCOSE TEST,ACCU-CHEK COMFORT CURVE (GLUCOSE) TEST STRIP,DX900,Y,ACTIVE,10/16/2012,
GLUCOSE CONTROL,ACCU-CHEK COMFORT CURVE-H (GLUCOSE) HI/LO CONTROL SOLN,DX900,Y,INACTIVE,10/16/2012,8/5/2008
GLUCOSE TEST,ACCU-CHEK COMFORT CURVE-H (GLUCOSE) TEST STRIP,DX900,Y,INACTIVE,10/16/2012,6/30/2008
GLUCOSE CONTROL,ACCU-CHEK COMPACT (GLUCOSE) HI/LO CONTROL SOLN,DX900,N,ACTIVE,10/16/2012,
GLUCOSE TEST,"ACCU-CHEK COMPACT (GLUCOSE) TEST DRUM,102",DX900,N,INACTIVE,10/16/2012,6/18/2014
GLUCOSE TEST,"ACCU-CHEK COMPACT (GLUCOSE) TEST DRUM,17",DX900,Y,INACTIVE,10/16/2012,6/18/2014
GLUCOSE TEST,"ACCU-CHEK COMPACT (GLUCOSE) TEST DRUM,51",DX900,N,INACTIVE,10/16/2012,6/18/2014
GLUCOSE TEST,ACCU-CHEK COMPACT PLUS (GLUCOSE) METER,DX900,N,ACTIVE,10/16/2012,
GLUCOSE TEST,"ACCU-CHEK COMPACT PLUS (GLUCOSE) TEST DRUM,102",DX900,Y,ACTIVE,4/16/2014,
GLUCOSE TEST,"ACCU-CHEK COMPACT PLUS (GLUCOSE) TEST DRUM,17",DX900,Y,ACTIVE,4/16/2014,
GLUCOSE TEST,"ACCU-CHEK COMPACT PLUS (GLUCOSE) TEST DRUM,51",DX900,Y,ACTIVE,4/16/2014,
GLUCOSE CONTROL,ACCU-CHEK GUIDE (GLUCOSE) HIGH/LOW CONTROL SOLN,DX900,Y,ACTIVE,2/23/2017,
GLUCOSE TEST,ACCU-CHEK GUIDE (GLUCOSE) METER,DX900,Y,ACTIVE,12/10/2019,
GLUCOSE TEST,ACCU-CHEK GUIDE (GLUCOSE) TEST STRIP,DX900,Y,ACTIVE,2/23/2017,
GLUCOSE TEST,ACCU-CHEK GUIDE ME (GLUCOSE) METER,DX900,Y,ACTIVE,1/28/2020,
GLUCOSE TEST,ACCU-CHEK II CONTROL,DX900,Y,INACTIVE,10/16/2012,9/28/2007
GLUCOSE TEST,ACCU-CHEK INFORM II (GLUCOSE) TEST STRIP,DX900,N,ACTIVE,12/12/2013,
GLUCOSE TEST,ACCU-CHEK INSTANT (GLUCOSE) CONTROL SOLN,DX900,Y,ACTIVE,10/16/2012,
GLUCOSE TEST,ACCU-CHEK INSTANT (GLUCOSE) METER,DX900,Y,ACTIVE,10/16/2012,
GLUCOSE TEST,ACCU-CHEK INSTANT (GLUCOSE) TEST STRIP,DX900,Y,ACTIVE,10/16/2012,
GLUCOSE TEST,ACCU-CHEK INSTANT DM (GLUCOSE) METER,DX900,Y,INACTIVE,10/16/2012,9/28/2007
CHOLESTEROL TEST,ACCU-CHEK INSTANT PLUS (CHOLESTEROL) TEST STRIP,DX900,N,INACTIVE,10/16/2012,3/7/2012
GLUCOSE TEST,ACCU-CHEK ON CALL VIVID (GLUCOSE) TEST STRIP,DX900,N,ACTIVE,12/21/2012,
GLUCOSE TEST,ACCU-CHEK SIMPLICITY (GLUCOSE) TEST STRIP,DX900,Y,INACTIVE,10/16/2012,12/1/2009
GLUCOSE TEST,ACCU-CHEK SMARTVIEW (GLUCOSE) TEST STRIP,DX900,N,ACTIVE,12/21/2012,
GLUCOSE TEST,ACCU-CHEK VOICEMATE (GLUCOSE) SYSTEM KIT,DX900,Y,ACTIVE,10/16/2012,
LIDOCAINE/POVIDONE IODINE,ACCUGUIDE CENTRAL VENOUS CATHETER KIT C1409AK,CN204,N,INACTIVE,10/16/2012,1/14/1999
LIDOCAINE,ACCUGUIDE CENTRAL VENOUS CATHETER KIT C1606AX,CN204,N,INACTIVE,10/16/2012,1/14/1999
LIDOCAINE/POVIDONE IODINE,ACCUGUIDE CENTRAL VENOUS CATHETER KIT C1608MC,CN204,N,INACTIVE,10/16/2012,1/14/1999
LIDOCAINE/POVIDONE IODINE,ACCUGUIDE CENTRAL VENOUS CATHETER KIT C2005AK,CN204,N,INACTIVE,10/16/2012,1/14/1999
LIDOCAINE,ACCUGUIDE PERCUTANEOUS CATHETER INTRODUCER KIT,CN204,N,INACTIVE,10/16/2012,1/14/1999
GLUCOSE TEST,ACCUTREND (GLUCOSE) TEST STRIP,DX900,Y,ACTIVE,10/16/2012,
SPACER-INHALER,ACE AEROSOL CLOUD ENHANCER,XA900,,ACTIVE,10/16/2012,
ACEBUTOLOL,ACEBUTOLOL HCL 200MG CAP,CV100,N,ACTIVE,10/16/2012,
ACEBUTOLOL,ACEBUTOLOL HCL 400MG CAP,CV100,N,ACTIVE,10/16/2012,
DIPHTHERIA TOXOID/PERTUSSIS VACCINE/TETANUS TOXOID,ACEL-IMUNE INJ,IM100,N,INACTIVE,10/16/2012,9/28/2007
ACETAMINOPHEN,"ACETAMINOPHEN 100MG/ML (SF) DROPS,ORAL",CN103,N,ACTIVE,10/16/2012,
ACETAMINOPHEN,"ACETAMINOPHEN 100MG/ML (SF) SUSP,ORAL",CN103,N,INACTIVE,10/16/2012,7/5/2012
ACETAMINOPHEN,"ACETAMINOPHEN 100MG/ML DROPS,ORAL",CN103,N,ACTIVE,10/16/2012,
ACETAMINOPHEN,ACETAMINOPHEN 10MG/ML INJ,CN103,Y,ACTIVE,10/16/2012,
ACETAMINOPHEN,"ACETAMINOPHEN 120MG SUPP,RTL",CN103,Y,ACTIVE,10/16/2012,
ACETAMINOPHEN,ACETAMINOPHEN 120MG/5ML ELIXIR,CN103,N,INACTIVE,10/16/2012,9/3/2008
ACETAMINOPHEN,"ACETAMINOPHEN 125MG SUPP,RTL",CN103,Y,INACTIVE,10/16/2012,10/29/2002
ACETAMINOPHEN,"ACETAMINOPHEN 130MG/5ML SOLN,ORAL",CN103,Y,INACTIVE,10/16/2012,9/7/2000
ACETAMINOPHEN,ACETAMINOPHEN 160MG SPRINKLE CAP,CN103,N,INACTIVE,10/16/2012,10/29/2002
ACETAMINOPHEN,ACETAMINOPHEN 160MG TAB,CN103,Y,INACTIVE,10/16/2012,4/16/2009
ACETAMINOPHEN,ACETAMINOPHEN 160MG TAB RAPID DISINTEGRATING,CN103,N,ACTIVE,10/16/2012,
ACETAMINOPHEN,"ACETAMINOPHEN 160MG TAB,CHEW",CN103,N,ACTIVE,10/16/2012,
ACETAMINOPHEN,ACETAMINOPHEN 160MG/5ML (ALC-F) LIQUID,CN103,Y,ACTIVE,10/16/2012,
ACETAMINOPHEN,ACETAMINOPHEN 160MG/5ML (ALC-F) SUSP,CN103,Y,ACTIVE,10/16/2012,
ACETAMINOPHEN,ACETAMINOPHEN 160MG/5ML (SF & AF) LIQUID,CN103,Y,ACTIVE,10/16/2012,
ACETAMINOPHEN,ACETAMINOPHEN 160MG/5ML ELIXIR,CN103,Y,INACTIVE,10/16/2012,6/18/2019
ACETAMINOPHEN,ACETAMINOPHEN 160MG/5ML LIQUID,CN103,Y,ACTIVE,10/16/2012,
ACETAMINOPHEN,"ACETAMINOPHEN 160MG/5ML SUSP,ORAL,5ML",CN103,Y,ACTIVE,2/20/2013,
ACETAMINOPHEN/DEXTROMETHORPHAN,"ACETAMINOPHEN 160MG/DEXTROMETHORPHAN 5MG/5ML SUSP,ORAL",RE302,N,ACTIVE,7/12/2018,
ACETAMINOPHEN,"ACETAMINOPHEN 160MG/ML DROPS,ORAL",CN103,N,INACTIVE,10/16/2012,2/3/2010
ACETAMINOPHEN/PSEUDOEPHEDRINE,ACETAMINOPHEN 200MG/PSEUDOEPHEDRINE 30MG CAP,RE599,N,INACTIVE,10/16/2012,9/28/2007
ACETAMINOPHEN/PSEUDOEPHEDRINE,ACETAMINOPHEN 200MG/PSEUDOEPHEDRINE 30MG TAB,RE599,N,INACTIVE,10/16/2012,9/28/2007
ACETAMINOPHEN/ASPIRIN/CALCIUM CARBONATE,ACETAMINOPHEN 250MG/ASPIRIN 250MG BUFFERED TAB,CN103,N,ACTIVE,10/16/2012,
ACETAMINOPHEN/ASPIRIN/CAFFEINE,ACETAMINOPHEN 250MG/ASPIRIN 250MG/CAFFEINE 65MG TAB,CN103,Y,INACTIVE,10/16/2012,9/28/2007
ACETAMINOPHEN/BROMPHENIRAMINE,"ACETAMINOPHEN 250MG/BROMPHENIRAMINE 2MG TAB,ORAL",RE599,N,INACTIVE,12/29/2014,4/21/2017
ACETAMINOPHEN/DEXTROMETHORPHAN,ACETAMINOPHEN 250MG/DEXTROMETHORPHAN 7.5MG/5ML LIQUID,RE302,N,INACTIVE,10/16/2012,9/28/2007
ACETAMINOPHEN/SALICYLAMIDE,ACETAMINOPHEN 250MG/SALICYLAMIDE 250MG CAP,CN103,N,INACTIVE,10/16/2012,10/29/2002
ACETAMINOPHEN/SALICYLAMIDE,ACETAMINOPHEN 250MG/SALICYLAMIDE 600MG TAB,CN103,N,ACTIVE,10/16/2012,
ACETAMINOPHEN/BUTALBITAL,ACETAMINOPHEN 300MG/BUTALBITAL 50MG CAP,CN103,N,ACTIVE,8/2/2018,
ACETAMINOPHEN/BUTALBITAL,ACETAMINOPHEN 300MG/BUTALBITAL 50MG TAB,CN103,N,ACTIVE,6/28/2013,
ACETAMINOPHEN/CHLORZOXAZONE,ACETAMINOPHEN 300MG/CHLORZOXAZONE 250MG CAP,MS200,N,INACTIVE,10/16/2012,12/6/2002
ACETAMINOPHEN/CHLORZOXAZONE,ACETAMINOPHEN 300MG/CHLORZOXAZONE 250MG TAB,MS200,N,INACTIVE,10/16/2012,12/6/2002
ACETAMINOPHEN/CHLORPHENIRAMINE/DEXTROMETHORPHAN,ACETAMINOPHEN 325/CTM 2/DM 10/P-EPHRINE 5MG TAB,RE509,N,ACTIVE,11/4/2015,
ACETAMINOPHEN/CHLORPHENIRAMINE/DEXTROMETHORPHAN,ACETAMINOPHEN 325/CTM 2/DM 15/P-EPHRINE 5MG TAB,RE509,N,INACTIVE,10/26/2015,11/4/2015
ACETAMINOPHEN,ACETAMINOPHEN 325MG CAP,CN103,N,ACTIVE,8/11/2016,
ACETAMINOPHEN,"ACETAMINOPHEN 325MG SUPP,RTL",CN103,Y,ACTIVE,10/16/2012,
ACETAMINOPHEN,ACETAMINOPHEN 325MG TAB,CN103,Y,ACTIVE,10/16/2012,
ACETAMINOPHEN,"ACETAMINOPHEN 325MG TAB,UD",CN103,Y,ACTIVE,10/16/2012,
ACETAMINOPHEN,ACETAMINOPHEN 325MG/10.15ML ELIXIR,CN103,Y,ACTIVE,10/16/2012,
ACETAMINOPHEN,"ACETAMINOPHEN 325MG/10.15ML SUSP,ORAL",CN103,Y,ACTIVE,1/15/2015,
ACETAMINOPHEN,"ACETAMINOPHEN 325MG/12.5ML SOLN,ORAL",CN103,Y,INACTIVE,10/16/2012,4/16/2009
ACETAMINOPHEN,ACETAMINOPHEN 325MG/5ML ELIXIR,CN103,Y,INACTIVE,10/16/2012,10/29/2002
ACETAMINOPHEN/ASPIRIN,ACETAMINOPHEN 325MG/ASPIRIN 325MG TAB,CN103,N,INACTIVE,10/16/2012,10/29/2002
ACETAMINOPHEN/BUTALBITAL,ACETAMINOPHEN 325MG/BUTALBITAL 25MG TAB,CN103,N,ACTIVE,2/26/2016,
ACETAMINOPHEN/BUTALBITAL,ACETAMINOPHEN 325MG/BUTALBITAL 50MG CAP,CN103,N,INACTIVE,10/16/2012,10/29/2002
ACETAMINOPHEN/BUTALBITAL,ACETAMINOPHEN 325MG/BUTALBITAL 50MG TAB,CN103,N,ACTIVE,10/16/2012,
ACETAMINOPHEN/CHLORPHENIRAMINE,ACETAMINOPHEN 325MG/CHLORPHENIRAMINE 2MG TAB,RE599,N,ACTIVE,10/16/2012,
ACETAMINOPHEN/DIPHENHYDRAMINE,ACETAMINOPHEN 325MG/DIPHENHYDRAMINE HCL 12.5 MG TAB,CN900,N,ACTIVE,10/16/2012,
ACETAMINOPHEN/DEXTROMETHORPHAN/DIPHENHYDRAMINE,ACETAMINOPHEN 325MG/DM 10MG/DIPHENHYDRAMINE 12.5MG/5ML LIQUID,RE507,N,ACTIVE,1/6/2015,
ACETAMINOPHEN/DEXTROMETHORPHAN/PHENYLEPHRINE,"ACETAMINOPHEN 325MG/DM 10MG/PHENYLEPHRINE 5MG CAP,ORAL",RE515,N,ACTIVE,2/26/2015,
ACETAMINOPHEN/DEXTROMETHORPHAN/PHENYLEPHRINE,ACETAMINOPHEN 325MG/DM 10MG/PHENYLEPHRINE 5MG TAB,RE515,N,ACTIVE,3/10/2016,
ACETAMINOPHEN/GUAIFENESIN/PHENYLEPHRINE,ACETAMINOPHEN 325MG/GUAIFENESIN 200MG/PHENYLEPHRINE 5MG TAB,RE599,N,ACTIVE,4/21/2014,
ACETAMINOPHEN/PAMABROM,ACETAMINOPHEN 325MG/PAMABROM 25MG TAB,CN103,N,INACTIVE,10/16/2012,10/29/2002
ACETAMINOPHEN/PHENOBARBITAL,ACETAMINOPHEN 325MG/PHENOBARBITAL 16MG TAB,CN103,N,INACTIVE,10/16/2012,4/4/2002
ACETAMINOPHEN/PHENYLEPHRINE,"ACETAMINOPHEN 325MG/PHENYLEPHRINE HCL 5MG CAP,ORAL",RE599,N,ACTIVE,6/10/2015,
ACETAMINOPHEN/PHENYLEPHRINE,ACETAMINOPHEN 325MG/PHENYLEPHRINE HCL 5MG TAB,RE599,N,ACTIVE,10/16/2012,
ACETAMINOPHEN/PHENYLPROPANOLAMINE,ACETAMINOPHEN 325MG/PHENYLPROPANOLAMINE 18MG TAB,RE599,N,INACTIVE,10/16/2012,10/14/2005
ACETAMINOPHEN/PHENYLTOLOXAMINE,ACETAMINOPHEN 325MG/PHENYLTOLOXAMINE 30MG TAB,RE599,N,ACTIVE,10/16/2012,
ACETAMINOPHEN/PSEUDOEPHEDRINE,ACETAMINOPHEN 325MG/PSEUDOEPHEDRINE 15MG TAB,RE599,N,INACTIVE,10/16/2012,9/28/2007
ACETAMINOPHEN/PSEUDOEPHEDRINE,ACETAMINOPHEN 325MG/PSEUDOEPHEDRINE 30MG TAB,RE599,N,ACTIVE,10/16/2012,
ACETAMINOPHEN/PYRILAMINE MALEATE,ACETAMINOPHEN 325MG/PYRILAMINE MALEATE 12.5MG TAB,CN103,N,INACTIVE,10/16/2012,9/28/2007
ACETAMINOPHEN/PYRILAMINE MALEATE,ACETAMINOPHEN 325MG/PYRILAMINE MALEATE 25MG TAB,CN103,N,ACTIVE,6/11/2015,
ACETAMINOPHEN/TRAMADOL,ACETAMINOPHEN 325MG/TRAMADOL HCL 37.5MG TAB,CN101,N,INACTIVE,10/16/2012,8/15/2014
ACETAMINOPHEN/TRAMADOL,"ACETAMINOPHEN 325MG/TRAMADOL HCL 37.5MG TAB,UD",CN101,N,INACTIVE,10/16/2012,8/15/2014
ACETAMINOPHEN/PAMABROM/PYRILAMINE,ACETAMINOPHEN 400MG/PAMABROM 25MG/PYRILAMINE 15MG TAB,CN103,N,INACTIVE,10/16/2012,10/29/2002
ACETAMINOPHEN,ACETAMINOPHEN 500MG CAP,CN103,N,ACTIVE,10/16/2012,
ACETAMINOPHEN,ACETAMINOPHEN 500MG TAB,CN103,Y,ACTIVE,10/16/2012,
ACETAMINOPHEN,"ACETAMINOPHEN 500MG TAB,UD",CN103,Y,ACTIVE,10/16/2012,
ACETAMINOPHEN,ACETAMINOPHEN 500MG/15ML LIQUID,CN103,Y,ACTIVE,10/16/2012,
ACETAMINOPHEN/BROMPHENIRAMINE,"ACETAMINOPHEN 500MG/BROMPHENIRAMINE 1MG TAB,ORAL",RE599,N,INACTIVE,5/19/2016,7/5/2016
ACETAMINOPHEN/CALCIUM CARBONATE,ACETAMINOPHEN 500MG/CA CARBONATE 250MG TAB,CN103,N,INACTIVE,10/16/2012,10/29/2002
ACETAMINOPHEN/CAFFEINE/PYRILAMINE,ACETAMINOPHEN 500MG/CAFFEINE 60MG/PYRILAMINE 15MG TAB,CN103,N,ACTIVE,7/31/2014,
ACETAMINOPHEN/CAFFEINE,ACETAMINOPHEN 500MG/CAFFEINE 65MG TAB,CN103,Y,ACTIVE,10/16/2012,
ACETAMINOPHEN/CHLORPHENIRAMINE/PSEUDOEPHEDRINE,ACETAMINOPHEN 500MG/CTM 4MG/PSEUDOEPHEDRINE 60MG PKT,RE599,N,INACTIVE,10/16/2012,9/8/2011
ACETAMINOPHEN/DEXBROMPHENIRAMINE,"ACETAMINOPHEN 500MG/DEXBROMPHENIRAMINE 1MG TAB,ORAL",RE599,N,ACTIVE,7/5/2016,
ACETAMINOPHEN/DIPHENHYDRAMINE,"ACETAMINOPHEN 500MG/DIPHENHYDRAMINE HCL 25MG CAP,ORAL",CN900,N,INACTIVE,2/18/2016,3/15/2016
ACETAMINOPHEN/DIPHENHYDRAMINE,ACETAMINOPHEN 500MG/DIPHENHYDRAMINE HCL 25MG TAB,CN900,N,ACTIVE,10/16/2012,
ACETAMINOPHEN/DIPHENHYDRAMINE,ACETAMINOPHEN 500MG/DIPHENHYDRAMINE HCL 25MG/15ML LIQUID,CN900,N,INACTIVE,10/16/2012,5/13/2016
ACETAMINOPHEN/DIPHENHYDRAMINE,ACETAMINOPHEN 500MG/DIPHENHYDRAMINE HCL 38MG TAB,CN900,N,ACTIVE,10/16/2012,
ACETAMINOPHEN/DIPHENHYDRAMINE,"ACETAMINOPHEN 500MG/DIPHENHYDRAMINE HCL 38MG/PKT POWDER,ORAL",CN900,N,ACTIVE,10/16/2012,
ACETAMINOPHEN/DIPHENHYDRAMINE,ACETAMINOPHEN 500MG/DIPHENHYDRAMINE HCL 50MG TAB,CN900,N,INACTIVE,10/16/2012,8/11/2016
ACETAMINOPHEN/DEXTROMETHORPHAN/DOXYLAMINE,ACETAMINOPHEN 500MG/DM 15MG/DOXYLAMINE 6.25MG/15ML LIQUID,RE509,N,INACTIVE,10/16/2012,2/23/2009
ACETAMINOPHEN/DEXTROMETHORPHAN/PSEUDOEPHEDRINE,ACETAMINOPHEN 500MG/DM 15MG/PSEUDOEPHEDRINE 30MG TAB,RE515,N,ACTIVE,10/16/2012,
ACETAMINOPHEN/DEXTROMETHORPHAN/PHENYLEPHRINE,ACETAMINOPHEN 500MG/DM 20MG/PHENYLEPHRINE 10MG/PKT,RE599,N,ACTIVE,11/27/2017,
ACETAMINOPHEN/PAMABROM/PYRILAMINE,ACETAMINOPHEN 500MG/PAMABROM 25MG/PYRILAMINE 15MG TAB,CN103,N,ACTIVE,10/16/2012,
ACETAMINOPHEN/PHENYLTOLOXAMINE,ACETAMINOPHEN 500MG/PHENYLTOLOXAMINE 29MG TAB,RE599,N,ACTIVE,2/25/2015,
ACETAMINOPHEN/PHENYLTOLOXAMINE,ACETAMINOPHEN 500MG/PHENYLTOLOXAMINE 30MG CAP,RE599,N,INACTIVE,10/16/2012,8/30/2011
ACETAMINOPHEN/PHENYLTOLOXAMINE,ACETAMINOPHEN 500MG/PHENYLTOLOXAMINE 50MG TAB,RE599,N,ACTIVE,2/25/2015,
ACETAMINOPHEN/PHENYLTOLOXAMINE,ACETAMINOPHEN 500MG/PHENYLTOLXAMINE 29MG TAB,RE599,N,INACTIVE,2/13/2015,2/25/2015
