_id,ltable_id,rtable_id,ltable_name,ltable_category,ltable_fda_schedule,rtable_tokTitle,rtable_tokNews,gold_label
329,13,31570,heroin,painkiller,schedule i,feds link 2018 bay area meth heroin bust sinaloa cartel,san francisco first time federal authorities publicly linked 2018 investigation yielded 37 pounds methamphetamine infamous sinaloa cartel court records show criminal case involves two brothers jesus eduardo salazar arrested identified large scale trafficker bay area prosecutors mateo separate occasions interstate 5 shipment 20 meth another near seattle 17 five heroin also recovered arizona resident barely played role scheme evidence discussed setting deals brother actually obtained narcotics nonetheless charged sentences wildly different given years prison last year sentenced served meaning freed jail week sentencing memo though revealed suspected part led ring filed seal never made available public,1
334,13,36648,heroin,painkiller,schedule i,buffalo gang member sentenced 19 years,buffalo gang member admitted taking part several attempts murder members rival sentenced 19 years prison u district judge lawrence j vilardo pleading guilty racketeering conspiracy charges attorney james p kennedy jr announced maurice rice 22 selling heroin fentanyl including killed lackawanna woman 2018 said cbl bfl also joined others kill three retaliation shootings august september 2015 seventh convicted total 13 charged arrested feb 25 sold crack cocaine butyryl undercover police officers,1
338,13,39100,heroin,painkiller,schedule i,surveillance camera catches heroin dropping man pocket hebron store police use facebook post ask come pick,hoping find gentleman dropped heroin bag shopping casey gas station afternoon looks like fell pocket standing line ooops hate happens read post dated 6 58 p saturday please come police department claim hope see soon,1
340,13,39653,heroin,painkiller,schedule i,california man arrested nearly 30 pounds meth seized oregon traffic stop,oregon state troopers friday seized nearly 30 pounds methamphetamine driver interstate 5 authorities say julian pineda casillas victorville california pulled speeding central point area according police search 2019 chevrolet malibu revealed 28 8 4 heroin hidden rear fenders said booked jackson county jail suspicion delivery unlawful possession meth records show jim ryan jryan oregonian com 503 221 8005 jimryan015 subscribe oregonlive newsletters podcasts latest news top stories,1
356,13,48082,heroin,painkiller,schedule i,police driver charged child endangerment ovi crash walnut hills,close 2 year old 4 passengers crash gilbert avenue photo provided cincinnati police department driver involved walnut hills wednesday afternoon charged child endangerment officials said reported 5 p confirmed two children ages vehicle time adults treated narcan high heroin ovi name yet released traffic blocked elsinore place eden park drive according wires area work like without supporters please consider subscription com since midnight say 11 overdoses city incidents caring heroinkills cincypd june 10 2020 read share story https www news 06 5337675002,1
370,13,56491,heroin,painkiller,schedule i,cannabis crop carroll county farmers test growing logistics market newly legal hemp,recently though federal law made little distinction considering hemp marijuana identically essentially illegal 1937 tax act passage controlled substances 1970 cannabis listed restrictive substance category u enforcement administration schedule also includes lsd heroin restrictions called industrial extremely low levels thc began loosen 2014 farm bill according jim drews turfgrass seed program manager maryland department agriculture,1
383,13,64710,heroin,painkiller,schedule i,man 15 prior arrests charged stolen license plates police,bayonne 51 year old man dozen prior arrests arrested friday charged stolen property possession authorities said michael f stisi avenue 3 42 p area 23rd street broadway patrolling officer confirmed vehicle using license plates capt eric amato reported jersey city may 25 alerted displayed motor stop provide valid reason police also recovered heroin search arrest outstanding warrant kearny 2015 15 last incident robbery charge shoprite criminal complaint allegedly inflicting serious bodily injury male employee female taken hudson county jail,1
390,13,68878,heroin,painkiller,schedule i,spokane valley sheriff deputy uses narcan save man overdosed,spokane valley sheriff deputy used naloxone also known narcan save unconscious man overdosed heroin saturday troy knutson responded medical call 7 p 12800 block east sprague ave caller reported early 20s breathing turned blue according office arrived saw group people gathered around lying back two parked cars asked anyone knew recently someone said administered dose see improvement second fire personnel shortly minutes later regained consciousness taken local hospital good samaritan law passed washington 2010 allows enforcement first responders overdoses without fear prosecution deputies carrying since 2017 2016 became available idaho prescription,1
392,13,69364,heroin,painkiller,schedule i,lancaster man gets 32 months prison conspiracy distribute heroin,lancaster man convicted conspiracy distribute heroin sentenced u district judge richard j arcara serve 32 months prison according attorney office federal prosecutors said 28 year old kevin hinca conspired others december 2015 june 2016 identified dealer enforcement administration investigation larger trafficking network operating buffalo area sentencing result dea direction special agent charge ray donovan,1
398,49,6595,midazolam,medication,schedule iv,federal judge rejects execution challenge state use violate 8th amendment ruling states,three protocol arkansas used execute four death row inmates 2017 violate 8th amendment prohibits cruel unusual punishment federal judge said monday 106 page ruling following non jury trial last year u district kristine baker sided state finding method execution constitutional begins use sedative midazolam followed injection vercuronium bromide paralytic ends potassium chloride stops heart attorneys challenged particular presenting testimony always sedate someone deeply enough prevent experiencing pain two upheld states well,1
401,60,6800,hashish,product,schedule i,former oregon duck pole vaulter cole walsh serves suspension positive test cannabis,former university oregon pole vaulter cole walsh completed three month suspension testing positive january thc main psychoactive constituent cannabis marijuana hashish considered many performance enhancer use violation world anti doping rules began six reduced months counseling program successful post collegiate career placed 10th 2019 outdoor championships ken goe,1
563,117,1487,cocaine,"anesthetics,mucosal",schedule ii,police quiet rage weekend opinion,know happens cities respond crisis policing prison instead community investments sustain black brown neighborhoods grew brooklyn scarred divestment police brutality 70s 80s 15 rise crack cocaine made awful decision leave loving home sell philadelphia committed horrific act took life another teen spent 30 years chance come supreme court ruled children sentenced die saw violence caused schools youth programs jobs generational disrespect young men,1
568,117,4940,cocaine,"anesthetics,mucosal",schedule ii,police quiet rage weekend opinion,know happens cities respond crises policing prison instead community investments sustain black brown neighborhoods grew brooklyn scarred divestment police brutality 70s 80s 15 rise crack cocaine crisis made awful decision leave loving home sell philadelphia committed horrific act took life another teen spent 30 years chance come supreme court ruled children sentenced die saw violence caused schools youth programs jobs generational disrespect young men,1
570,117,7866,cocaine,"anesthetics,mucosal",schedule ii,coroner killed twilight actor gregory tyree boyce girlfriend,las vegas use killed actor film twilight girlfriend coroner said monday clark county john fudenberg gregory boyce 30 natalie adepoju 27 died effects cocaine fentanyl intoxication deaths accidental bodies discovered may 13 police summoned bedroom condominium several miles east strip officers reported finding white powder dresser evidence foul play blamed illegal overdose nationwide appeared tyler crowley 2008 starring kristen stewart robert pattinson,1
583,117,16190,cocaine,"anesthetics,mucosal",schedule ii,texas man finds 850k worth cocaine hidden car auction,texas man bought car auction found also 74 pounds cocaine stashed inside according report lucky bidder loredo alerted cops saturday stumbled narcotics secret compartment vehicle houston chronicle reported deputies arrived webb county sheriff office shown 17 bundles police dogs sniffed another stuffed second hidden paper told 34 estimated street value 850 000 enough purchase fleet lamborghinis thank congratulate person us honest individual could ended wrong hands said martin cuellar statement outlet,1
591,117,21185,cocaine,"anesthetics,mucosal",schedule ii,mexico seizes 2 tons meth 8 marijuana fentanyl,mexico city mexican soldiers seized huge stash house border tijuana including two tons methamphetamine eight marijuana 131 500 pills containing synthetic opioid fentanyl defense department said thursday haul included 190 pounds 89 kilograms cocaine,1
602,117,29198,cocaine,"anesthetics,mucosal",schedule ii,rotterdam police seize 151 million euros worth cocaine,hague reuters dutch police port rotterdam seized 2 020 kilos cocaine estimated value 151 million euros 170 authorities said sunday found shipment bananas ecuador destined hungarian company prosecutor office media release customs officials total 38 000 last year,1
603,117,30667,cocaine,"anesthetics,mucosal",schedule ii,caddo shreveport narcotics unit seizes nearly 550k,close subscribe times go https help shreveporttimes com subscription services shreveport caddo parish sheriff steve prator police chief ben raymond announced friday agents assigned narcotics unit detectives department seized nearly 550 000 following execution search warrant west homicide investigators procured home relative ongoing criminal investigation enlisted execute upon located 177 grams methamphetamine 16 117 marijuana 10 crack cocaine 74 powder 4 540 synthetic 2 951 thc edibles warrants forthcoming read share story www news crime 2020 06 makes big bust 3165006001,1
615,117,36648,cocaine,"anesthetics,mucosal",schedule ii,buffalo gang member sentenced 19 years,buffalo gang member admitted taking part several attempts murder members rival sentenced 19 years prison u district judge lawrence j vilardo pleading guilty racketeering conspiracy charges attorney james p kennedy jr announced maurice rice 22 selling heroin fentanyl including killed lackawanna woman 2018 said cbl bfl also joined others kill three retaliation shootings august september 2015 seventh convicted total 13 charged arrested feb 25 sold crack cocaine butyryl undercover police officers,1
617,117,37829,cocaine,"anesthetics,mucosal",schedule ii,3 arrested police seize money gun jamestown apartment,three men arrested cash loaded gun seized friday night authorities jamestown executed search warrant apartment water street police reported arraigned felony charges luis n martinez 48 sammy g mckeithan 38 edwin f rosario 31 also charged second degree criminal possession weapon held chautauqua county jail lieu 25 000 bail 14 ounces methamphetamine ounce cocaine 3 4 grams crack 9 mm handgun 500 paraphernalia according report investigators said stolen two years ago home officers swat team assisted metro task force sheriff office southern tier regional,1
633,117,44784,cocaine,"anesthetics,mucosal",schedule ii,colombia seizes 265 million worth cocaine shipping containers,bogota reuters colombian police tuesday seized cocaine estimated value 265 million shipping containers pacific port buenaventura city andean country coast senior official reported 4 9 tonnes two colombia important anti narcotics director general jorge luis ramirez said arrests operation represents largest seizure year authorities disclose owner leading producer output around 951 cultivations coca main ingredient covering 200 000 hectares 494 211 acres according white house office national control policy trafficking long fed internal armed conflict leftist rebel group liberation army eln dissidents former revolutionary forces farc guerrillas demobilized 2016 peace deal criminal groups make money trade security sources,1
655,117,56497,cocaine,"anesthetics,mucosal",schedule ii,4 large bundles found gulf coast beach,four large bundles wrapped found panhandle beach monday duty law enforcement officer taking walk family waterlogged packages marijuana seemingly washed ashore okaloosa island florida 100 miles east mobile according social media post county sheriff office details may come belonged saltwater saturated week posted thursday june 11 2020 unusual wash beaches 2019 around 1 million worth orange investigators first day turned 21 pounds kilo cocaine following another 38 kilos discovered,1
659,117,58731,cocaine,"anesthetics,mucosal",schedule ii,oklahoma traffic stop leads 750k stash cocaine,k butcher kfor via cnn canadian county ok man arrested traffic stop led discovery 60 pounds cocaine totaling 750 000 1 30 june 8 deputies sheriff office made arrest north carolina truck driver stopped along 40 near radio road driving roadway identified irvin rodriguez 31 wake forrest taken custody smuggling dog alerted presence illegal bed inside sleeper compartment semi tractor authorities discovered wrapped 23 individual bundles weighing 62 total officials say denied vehicle responded going kill told found suitcase believe spontaneous utterance definitely admission guilt said chris west transported jail booked trafficking bail set 50 remains value estimated around 800,1
663,117,60635,cocaine,"anesthetics,mucosal",schedule ii,canadian county traffic stop leads discovery cocaine worth 750k,canadian county okla kfor man arrested traffic stop led discovery 60 pounds cocaine totaling 750 000 1 30 june 8 deputies sheriff office made arrest north carolina truck driver stopped along 40 near radio road driving roadway identified irvin rodriguez 31 wake forrest taken custody smuggling dog alerted presence illegal bed inside sleeper compartment semi tractor authorities discovered wrapped 23 individual bundles weighing 62 total officials say denied vehicle responded going kill told found suitcase believe spontaneous utterance definitely admission guilt said chris west transported jail booked trafficking bail set 50 remains value estimated around 800,1
699,0,80791,fentanyl,opioid analgesics,schedule ii,ring busted larimer county authorities seize pot cocaine meth guns,officials northern colorado task force arrested six people seized methamphetamine heroin fentanyl cocaine psilocybin mushrooms pot counterfeit currency handguns stolen semi automatic rifle week part trafficking bust larimer county investigation began last fall dubbed operation la familia focused several career criminals histories illegal narcotics distribution authorities said arrests happened tuesday announced wednesday warrants served residences fort collins wellington addition officers also found firearm missing serial number equipment case ongoing additional anticipated,1
709,0,88022,fentanyl,opioid analgesics,schedule ii,dementia patient found police aviation unit overnight search,muskegon county mi woman suffering dementia wandered home found early friday dense swamp police aviation unit lengthy overnight search 83 year old missing 7 hours eastern good medical health according press release michigan state rockford post daughter contacted p thursday june 18 1 mother casnovia township troopers k 9 along sheriff office several local fire departments responded 15000 block hall road continued six family property states also mlive grand man stopped neighbors attempting flee hit run crash wyoming sentenced 20 years prison dealing fentanyl killed person coronavirus cases deaths dropping nursing homes still concern,1
711,0,90559,fentanyl,opioid analgesics,schedule ii,buffalo man accused fatal fentanyl overdose,kalijah long accused selling caused three overdoses one fatal indicted 14 separate charges federal grand jury buffalo man also facing gun possession stemming search home vehicle convicted would face maximum sentence life prison assistant u attorneys jeremiah e lenihan michael j adler said case involves six controlled purchases fentanyl cocaine enforcement administration agents investigation dea identified dealer distributed killed individual court papers h distributing led non two people charged distribution substance causing death serious bodily injury intent distribute maintaining involved premises firearm furtherance trafficking indictment result town tonawanda west seneca police,1
718,0,103522,fentanyl,opioid analgesics,schedule ii,okc doctor accused illegally prescribing opioids,federal grand jury blaming oklahoma city pain doctor illegally prescribing opioids controlled substances causing deaths three patients dr donald hyungjoon kim 53 accused indictment distributing include oxycodone oxycotin fentanyl outside usual course professional medical practice without legitimate purpose according news release u attorney timothy j downing returned thursday charging 154 separate counts july 1 2015 october 12 2018 dea office began investigating prescription practices also alleges criminal distribution resulted patient,1
728,0,109405,fentanyl,opioid analgesics,schedule ii,buffalo man sentenced five years selling fentanyl,buffalo man charged selling fentanyl sentenced five years prison u district judge richard j arcara attorney james p kennedy jr announced deshon nettles 28 pleaded guilty possessing intent distribute distributing 10 grams butyryl prosecutors said found small amount 5 257 cash traffic stop march 1 2018 undercover officer enforcement administration subsequently made four purchases,1
732,0,115478,fentanyl,opioid analgesics,schedule ii,floyd mayweather ex girlfriend josie harris died accidental overdose,death josie harris mother three floyd mayweather jr children ruled result accidental overdose according los angeles county medical examiner coroner 40 found unresponsive car front california home march 10 fentanyl alparzoam xanax system resulting mixed toxicity began dating 1995 tumultuous relationship undefeated boxer filed domestic battery report champ 2010 leading spending 63 days prison 2012 incident witnessed said grabbed hair punched kicked took plea deal denied striking claiming restrained entering without permission 43 called abuser 2015 interview katie couric prompting file 20 million lawsuit scheduled go court later year,1
753,0,144527,fentanyl,opioid analgesics,schedule ii,joliet dealing controversy death man passed away day arrested january,video also depicts uniformed officer using end collapsible baton search lurry mouth pull plastic bags gavin wednesday said contained seen chewing something driven police station pulled mostly empty added toxicology reports showed 11 times amount fentanyl needed kill someone system time death,1
785,1,81692,coca,opioid analgesics,schedule ii,apple among tenet innovative technology brands 2020,tenet partners brand innovation firm released 2020 top 100 powerful brands report ranks strongest across 50 industries including tech food retail automotive financial services apple along amazon google alphabet made innovative technology list companies land spot captured high awareness positive perception marketplace according ceo hampton bridwell overall ranked behind coca cola 10 includes spots three walt disney microsoft johnson hershey american express ibm,0
817,1,92255,coca,opioid analgesics,schedule ii,north face first big brand join facebook ad boycott,facebook remove campaign ads trump vice president mike pence featured upside red triangle symbol used nazis designate political prisoners communists others concentration camps nationwide protests police brutality george floyd death continued mounting calls marketers yank ad dollars targeted companies sizes including major brands coca cola mcdonald starbucks agency 360i urged clients join boycott wall street journal reported thursday let send powerful message profits never worth promoting hate bigotry racism antisemitism violence reads website stophateforprofit run jointly naacp adl color change free press sleeping giants met ceo mark zuckerberg month express opposition handling incendiary speech,0
863,1,106573,coca,opioid analgesics,schedule ii,coronavirus complicated quest greener plastic bottle,quest make greener plastic bottles core beverage giants sustainability efforts become harder expensive pandemic nestl sa danone coca cola co pepsico inc set ambitious targets using recycled water soda juice bid allay consumers lawmakers worries environmental impacts single use several,0
925,1,122005,coca,opioid analgesics,schedule ii,facebook flag rule breaking posts even donald trump ban false claims voting,separately facebook stock dropped 8 erasing roughly 50 billion market valuation european company behind brands ben jerry dove announced would boycott ads end year amount hate speech divisive rhetoric platform later day coca cola also joined least 30 days,0
941,1,123901,coca,opioid analgesics,schedule ii,coca cola pausing advertising social media platforms starting july 1st,coca cola company pausing digital advertising social media platforms globally least 30 days starting july 1st soda giant announced friday evening move part broader boycott facebook instagram organized anti defamation league naacp organizations called stop hate profit campaign going one step companies banning ads would suggest hit twitter youtube well let know expect greater accountability action transparency,0
942,1,123999,coca,opioid analgesics,schedule ii,coca cola pauses paid social media advertising boycott heats,coca cola company made decision pause social media advertising one biggest moves growing boycott movement joined similar announcements big companies including verizon mozilla honda viber hersey place racism world continue reading,0
973,1,128894,coca,opioid analgesics,schedule ii,adr otcmkts cclay receives consensus rating hold brokerages,shares coca cola amati adr otcmkts cclay received average recommendation hold eight brokerages presently covering stock marketbeat reports one investment analyst rated sell rating seven assigned company number recently issued goldman sachs group raised neutral research note tuesday may 26th jpmorgan chase co cut overweight wednesday april 15th citigroup thursday 16th valuengine monday 18th finally credit suisse underperform march 10th,0
987,1,129837,coca,opioid analgesics,schedule ii,starbucks latest say pause social media ads,coffee chain announcement follows statements unilever european consumer goods giant behind ben jerry ice cream dove soap coca cola cellphone company verizon outdoors companies like patagonia eddie bauer rei film magnolia pictures jeans maker levi dozens smaller pause ads facebook others refrain advertising broadly social media,0
989,1,130714,coca,opioid analgesics,schedule ii,starbucks latest company pause social media ads,joins unilever coca cola others taking stand hate speech misinformation platforms,0
994,1,131025,coca,opioid analgesics,schedule ii,generation berkshire hathaway billionaire investor chamath palihapitiya modeling fir,billionaire investor chamath palihapitiya wants build social capital firm tech focused successor warren buffett 400 billion conglomerate ambition generation berkshire hathaway virgin galactic chairman said recent fortune interview ultimately expects take public envision venture holding company instead gillette coca cola mcdonald hold technology businesses told owns dozens including geico duracell see candies holds dollar stakes companies apple bank america sold stake procter gamble 2005 cashed shares 1998,0
1000,1,132068,coca,opioid analgesics,schedule ii,starbucks latest say pause social media ads,starbucks latest company say pause social media ads campaign led civil rights organizations called ad boycott facebook saying enough stop racist violent content said sunday actions part stophateforprofit pausing talking partners hate speech online coffee chain announcement follows statements unilever european consumer goods giant behind ben jerry ice cream dove soap coca cola cellphone verizon outdoors companies like patagonia eddie bauer rei film magnolia pictures jeans maker levi dozens smaller others refrain advertising broadly response halting executive carolyn everson earlier week networking platform committed purging hateful services,0
1007,1,132854,coca,opioid analgesics,schedule ii,microsoft paused ad spending facebook instagram concerns inappropriate content,microsoft paused advertising spending facebook instagram least august company confirmed monday axios first reported news citing internal chat transcript suspended social networks us may recently globally report business inisder market value dropped 60 billion past two days advertisers including coca cola starbucks pepsico pause part boycott response inaction hate speech according participating pausing ad concerned ads appear reportedly cited pornography terrorist content etc examples inappropriate reviewed explicitly say kind want beside,0
1008,1,132888,coca,opioid analgesics,schedule ii,microsoft reportedly suspending advertising facebook instagram,microsoft paused advertising facebook instagram worldwide due concerns content surfaced alongside ads according axios software giant participating broader boycott enlisted rei levi coca cola big companies worried running inappropriate hate speech pornography internal communications viewed distinction important leadership prefers use leverage media partners affect change private represents another major company withdrawing social network bread butter,0
1009,1,133070,coca,opioid analgesics,schedule ii,unilever verizon coca cola starbucks microsoft companies pulling ads facebook,illustration alex castro verge first time history facebook facing organized boycott advertisers set begin july 1st small companies either large corporations including hershey honda verizon stopped spending goal stop hate profit campaign pressure social media behemoth changing handles speech misinformation often incendiary posts president trump pledge advertising instagram least month taken step pulling platforms list includes coca cola starbucks unilever microsoft,0
1010,1,133105,coca,opioid analgesics,schedule ii,advertising execs break tiktok amazon tv networks biggest winners,momentum around quitting facebook gaining steam growing number advertisers like starbucks microsoft ford procter gamble clorox said would halt spending facing pressure hate speech toxic content spreads platform leading civil rights groups call ad boycott stakes vary wildly brands according data research analytics firm pathmatics spent estimated 18 9 million ads us year far coca cola 1 8 leaders set phone calls sent emails urging pull money promised submit audits,0
1021,1,134357,coca,opioid analgesics,schedule ii,carl reiner comedy legend dick van dyke show creator dies 98,1961 reiner drew experiences caesar create produced dick van dyke show ratings cornerstone cbs next five years made guest appearances irascible variety host alan brady emmys writing first three producing last two 1967 picked another emmy reunion coca morris,0
1028,1,135613,coca,opioid analgesics,schedule ii,woke capital targets free speech,american companies frenzy get ahead current moment woke moral panic sometimes means sacrificing unlucky employee political mob buying copies best seller white fragility encourage workers define race large firms joining campaign turn social media platforms tools surveillance enforcement conservatives coca cola starbucks verizon north face eddie bauer major brands paused facebook advertising,0
1039,1,137679,coca,opioid analgesics,schedule ii,money talks moderation advertisers unfriend facebook,podcast markets economy business also week cracks showing commercial property market look boom competitive video gaming companies including unilever coca cola verizon pulling ads facebook content moderation policies spell trouble social media giant investors love tested e sports v traditional rachana shanbhogue hosts runtime 23 min listen apple podcasts spotify google stitcher tunein please subscribe economist full access print digital audio editions www com podcastoffer,0
1042,1,137803,coca,opioid analgesics,schedule ii,dow jumps 25 points gains pfizer walt disney stocks,led positive momentum shares pfizer walt disney dow jones industrial average climbing wednesday morning pfe 5 07 dis 1 37 contributed index intraday rally djia 0 19 recently trading 28 points higher climbed 42 4 3 2 06 9 combining roughly 24 point boost coca cola ko 51 merck mrk 59 visa v 63 also contributing significantly gain move benchmark 30 components results 6 86 swing editor note story auto generated automated insights using data factset see market terms use,0
1058,1,139127,coca,opioid analgesics,schedule ii,buy facebook stock,facebook inc nasdaq fb news week 180 advertisers boycotting social media giant founder ceo mark zuckerberg triggered exodus last said company monitor hate speech violence platform stock dropped 11 two trading days following dropouts mega cap companies like verizon nyse vz unilever un coca cola ko starbucks sbux analysts expect one third total join revolt correction buying opportunity time steer clear,0
1059,1,139391,coca,opioid analgesics,schedule ii,facebook ad boycott kicks last ditch talks fail,ads 400 brands including coca cola starbucks due vanish facebook last ditch talks stop boycott failed,0
1061,1,139519,coca,opioid analgesics,schedule ii,facebook ad boycott begins,business facebook ad boycott begins posted ads 400 brands including coca cola starbucks due vanish wednesday failure last ditch talks stop hate speech site francis maguire reports,0
1100,1,144541,coca,opioid analgesics,schedule ii,coca cola shutting odwalla juice,new york cnn business coca cola shutting juice smoothie brand odwalla end july ko company made call given rapidly shifting marketplace despite every effort support continued production john hackett president ofminute maid unit includes brands said statement emailed decision lightly added acquired 2001 assessing last several years according spokesperson discontinue directly related coronavirus pandemic health conscious consumers less interested smoothies used explained discontinuing still comes time important ever evaluate improve efficiencies operations read,0
1104,1,145118,coca,opioid analgesics,schedule ii,mark zuckerberg ad boycott reason dump facebook stock,thinking dropping facebook stock wake ad boycott ceo mark zuckerberg think investors worried nasdaq fb week big brands including unilever coca cola nyse ko pepsico pep started pausing spending decision response stophateforprofit campaign last month led civil rights groups seeks starve important advertising revenue goal let know world happy runs company diversified making hardware products providing mobile payment selling subscription services however still lifeline could hit social media giant hurts,0
1105,1,145759,coca,opioid analgesics,schedule ii,social media companies face revenue hit boycotts,verizon decision join growing boycott facebook twitter risks hurting social media giants hurts advertising revenue accounts nearly 70 7 billion annual similar share 3 46 already faced declining ad spending big advertisers like ford coca cola cut budgets amid pandemic recession stophateforprofit campaign launched june 17 anti defamation league naacp advocacy groups seeks pressure curtail racist violent content websites far signed 500 companies organizations outdoor gear retailers northface rei patagonia among first said made move giant failed take steps stop spread platform hateful lies dangerous propaganda,0
1123,13,80791,heroin,painkiller,schedule i,ring busted larimer county authorities seize pot cocaine meth guns,officials northern colorado task force arrested six people seized methamphetamine heroin fentanyl cocaine psilocybin mushrooms pot counterfeit currency handguns stolen semi automatic rifle week part trafficking bust larimer county investigation began last fall dubbed operation la familia focused several career criminals histories illegal narcotics distribution authorities said arrests happened tuesday announced wednesday warrants served residences fort collins wellington addition officers also found firearm missing serial number equipment case ongoing additional anticipated,1
1169,13,107688,heroin,painkiller,schedule i,60 guns still missing 2018 theft parma gun shop one thief gets 15 years,five dozen firearms still missing 2018 break robbery parma gun shop three men admitted august theft chinappi supplies west ridge road store entered basement hole wall stole 90 handguns friday federal judge sentenced one 22 year old dakota sarfaty rochester almost 15 years two others luis marcano agosto marcos guzman awaiting sentencing records show battled heroin addiction must also pay 41 500 restitution owner authorities recovered 31 guns stolen contact gary craig gcraig gannett com 585 258 2479 follow twitter gcraig1 coverage possible support readers sign today digital subscription,1
1178,13,117952,heroin,painkiller,schedule i,addiction expert spared prison time case,dr torin finver well known treatment addicts personal struggles wednesday former hamburg doctor appeared federal judge acknowledge illegal importation cocaine heroin end spared additional prison time 55 previously pleaded guilty felony charge prosecutors accused using bitcoin cryptocurrency purchase dream market popular dark web marketplace assistant u attorney joshua violanti said case began november 2018 customs border protection officers chicago came across suspicious package germany addressed tested positive two similar packages california later located postal service inspectors rochester,1
