id,NAME,GENERIC_NAME,NAME_TYPE,FULL_GENERIC_NAME,FDA_SCHEDULE,VA_CLASS,VA_CATEGORY,CATEGORY
29,FIRE,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
30,FRIEND,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
31,GIRL,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
32,CATHINE,CATHINE,GENERIC_NAME,CATHINE,SCHEDULE IV,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
33,GOODFELLA,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
34,CATHINONE,CATHINONE,GENERIC_NAME,CATHINONE,SCHEDULE I,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
35,GREAT BEAR,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
36,GRAY STUFF,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
37,HE-MAN,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
38,HEINEKEN,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
39,PETHIDINE,PETHIDINE,GENERIC_NAME,PETHIDINE,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
40,HUERFANITO,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
41,HUMID,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
42,JACKPOT,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
43,KING IVORY,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
44,ALPHA-PYRROLIDINOBUTIOPHENONE,ALPHA-PYRROLIDINOBUTIOPHENONE,GENERIC_NAME,ALPHA-PYRROLIDINOBUTIOPHENONE,SCHEDULE I,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
45,LOLLIPOP,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
46,MURDER 8,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
47,NAL,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
48,NIL,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
49,LORCASERIN,LORCASERIN,GENERIC_NAME,LORCASERIN,SCHEDULE IV,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
50,NYL,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
51,OPES,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
52,PHARMACY,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
53,POISON,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
54,SHOES,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
55,SNOWFLAKE,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
56,ACETORPHINE,ACETORPHINE,GENERIC_NAME,ACETORPHINE,SCHEDULE I,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
57,TANGO AND CASH,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
58,ALLYLPRODINE,ALLYLPRODINE,GENERIC_NAME,ALLYLPRODINE,SCHEDULE I,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
59,TNT,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
60,CYPRENORPHINE,CYPRENORPHINE,GENERIC_NAME,CYPRENORPHINE,SCHEDULE I,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
61,TOE TAG DOPE,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
62,WHITE GIRL,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
63,FENPROPOREX,FENPROPOREX,GENERIC_NAME,FENPROPOREX,SCHEDULE IV,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
64,WHITE LADIES,FENTANYL,STREET_NAME,FENTANYL,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
65,HEROIN,HEROIN,GENERIC_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
66,HETEROCODEINE,HETEROCODEINE,GENERIC_NAME,HETEROCODEINE,SCHEDULE II,unknown,unknown,ISOMER
67,DIACETYLMORPHINE,HEROIN,BRAND_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
68,MEPRODINE,MEPRODINE,GENERIC_NAME,MEPRODINE,SCHEDULE I,unknown,unknown,ANALOGUE
69,DIAMORPHONE,HEROIN,BRAND_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
70,METAZOCINE,METAZOCINE,GENERIC_NAME,METAZOCINE,SCHEDULE II,unknown,unknown,unknown
71,ABAJO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
72,A-BOMB,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
73,PHENOMORPHAN,PHENOMORPHAN,GENERIC_NAME,PHENOMORPHAN,SCHEDULE I,unknown,unknown,unknown
74,ACHIVIA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
75,ADORMIDERA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
76,AMARILLA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
77,ANESTESIA DE CABALLO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
78,ANTIFREEZE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
79,APODO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
80,ARPON,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
81,AUNT HAZEL,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
82,AVOCADO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
83,AZUCAR,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
84,BAD SEED,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
85,BAJA CORTE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
86,BALLOT,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
87,BASKETBALL,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
88,BASURA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
89,BEAST,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
90,BEYONCE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
91,BIG BAG,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
92,BIG H,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
93,GLUTETHIMIDE,GLUTETHIMIDE,GENERIC_NAME,GLUTETHIMIDE,SCHEDULE II,unknown,unknown,SEDATIVE
94,BIG HARRY,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
95,BIRD,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
96,BIRDIE POWDER,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
97,BIRRIA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
98,BIRRIA BLANCA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
99,BLACK,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
100,METHYLTESTOSTERONE,METHYLTESTOSTERONE,GENERIC_NAME,METHYLTESTOSTERONE,SCHEDULE III,unknown,unknown,STEROID
101,BLACK BITCH,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
102,CARISOPRODOL,CARISOPRODOL,GENERIC_NAME,CARISOPRODOL,SCHEDULE IV,unknown,unknown,unknown
103,BLACK GOAT,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
104,BLACK OLIVES,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
105,BLACK PAINT,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
106,BLACK PEARL,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
107,BLACK SHEEP,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
108,BLACK SHIRT,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
109,BLACK TAR,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
110,BLANCO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
111,BLUE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
112,BLOW DOPE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
113,ALPHA-ETHYLTRYPTAMINE,ALPHA-ETHYLTRYPTAMINE,GENERIC_NAME,ALPHA-ETHYLTRYPTAMINE,SCHEDULE I,unknown,unknown,STIMULANT
114,BLUE HERO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
115,BOMBITA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
116,BOMBS AWAY,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
117,BONITA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
118,BOY,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
119,BOZO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
120,BREA NEGRA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
121,BRICK GUM,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
122,BROWN,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
123,BROWN CRYSTAL,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
124,BROWN RHINE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
125,BROWN SUGAR,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
126,BUBBLE GUM,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
127,BURRITO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
128,CARFENTANIL,CARFENTANIL,GENERIC_NAME,CARFENTANIL,SCHEDULE II,unknown,unknown,ANALOGUE
129,BUTTER,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
130,CABALLO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
131,CABALLO NEGRO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
132,CACA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
133,CAFÉ,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
134,CAJETA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
135,CAPITAL H,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
136,CARDIO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
137,CARGA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
138,CARO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
139,CEMENT,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
140,CERTIFICADA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
141,CHAPOPOTE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
142,CHARLIE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
143,CHARLIE HORSE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
144,CHAVO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
145,BENZYLMORPHINE,BENZYLMORPHINE,GENERIC_NAME,BENZYLMORPHINE,SCHEDULE I,unknown,unknown,unknown
146,CHEESE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
147,CHICLE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
148,CHICLOSA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
149,CHINA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
150,DESOMORPHINE,DESOMORPHINE,GENERIC_NAME,DESOMORPHINE,SCHEDULE I,unknown,unknown,DERIVATIVE
151,CHINA BLANCA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
152,CHINA CAT,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
153,DIHYDROETORPHINE,DIHYDROETORPHINE,GENERIC_NAME,DIHYDROETORPHINE,SCHEDULE II,unknown,unknown,unknown
154,CHINA WHITE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
155,CHINESE BUFFET,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
156,CHINESE FOOD,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
157,CHINESE RED,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
158,CHIP,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
159,CHIVA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
160,CHIVA BLANCA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
161,CHIVA LOCA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
162,HYDROMORPHINOL,HYDROMORPHINOL,GENERIC_NAME,HYDROMORPHINOL,SCHEDULE I,unknown,unknown,ANALOGUE
163,CHIVA NEGRA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
164,CHIVONES,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
165,CHOCOLATE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
166,MEPHEDRONE,MEPHEDRONE,GENERIC_NAME,MEPHEDRONE,SCHEDULE I,unknown,unknown,DRUG
167,CHOCOLATE BALLS,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
168,CHOCOLATE SHAKE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
169,CHOKO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
170,PHENAZOCINE,PHENAZOCINE,GENERIC_NAME,PHENAZOCINE,SCHEDULE II,unknown,unknown,DRUG
171,CHORIZO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
172,PIMINODINE,PIMINODINE,GENERIC_NAME,PIMINODINE,SCHEDULE II,unknown,unknown,ANALOGUE
173,CHURRO NEGRO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
174,CHUTAZO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
175,PRODINE,PRODINE,GENERIC_NAME,PRODINE,SCHEDULE II,unknown,unknown,ANALOG
176,COCO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
177,PROPIRAM,PROPIRAM,GENERIC_NAME,PROPIRAM,SCHEDULE I,unknown,unknown,AGONIST
178,COFFEE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
179,COHETE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
180,COMIDA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
181,CROWN CRAP,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
182,CURLEY HAIR,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
183,DARK,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
184,DARK GIRL,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
185,DARK KIND,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
186,DEAD ON ARRIVAL,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
187,DIESEL,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
188,DIRT,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
189,TILIDINE,TILIDINE,GENERIC_NAME,TILIDINE,SCHEDULE I,unknown,unknown,PAINKILLER
190,DOG FOOD,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
191,DOGGIE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
192,DROTEBANOL,DROTEBANOL,GENERIC_NAME,DROTEBANOL,SCHEDULE I,unknown,unknown,MORPHINAN
193,DOOJEE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
194,DOPE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
195,FOSPROPOFOL,FOSPROPOFOL,GENERIC_NAME,FOSPROPOFOL,SCHEDULE IV,unknown,unknown,AGENT
196,DORADO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
197,DOWN,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
198,DOWNTOWN,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
199,JWH-018,JWH-018,GENERIC_NAME,JWH-018,SCHEDULE I,unknown,unknown,CHEMICAL
200,DRAGON,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
201,JWH-073,JWH-073,GENERIC_NAME,JWH-073,SCHEDULE I,unknown,unknown,CHEMICAL
202,DRECK,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
203,JWH-081,JWH-081,GENERIC_NAME,JWH-081,SCHEDULE I,unknown,unknown,CHEMICAL
204,DYNAMITE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
205,LEVOPHENACYLMORPHAN,LEVOPHENACYLMORPHAN,GENERIC_NAME,LEVOPHENACYLMORPHAN,SCHEDULE I,unknown,unknown,MORPHINAN
206,DYNO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
207,EL DIABLO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
208,ENGINES,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
209,ENRIQUE GRANDE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
210,ESQUINA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
211,ESQUINILLA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
212,AM-694,AM-694,GENERIC_NAME,AM-694,SCHEDULE I,unknown,unknown,DRUG
213,FAIRY DUST,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
214,FLEA POWDER,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
215,FOOD,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
216,FOOLISH POWDER,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
217,GALLOPING HORSE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
218,GAMOT,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
219,CANNABICYCLOHEXANOL,CANNABICYCLOHEXANOL,GENERIC_NAME,CANNABICYCLOHEXANOL,SCHEDULE I,unknown,unknown,DRUG
220,GATO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
221,PENTEDRONE,PENTEDRONE,GENERIC_NAME,PENTEDRONE,SCHEDULE I,unknown,unknown,STIMULANT
222,GEORGE SMACK,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
223,GIRL,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
224,GLOBO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
225,GOAT,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
226,GOLDEN GIRL,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,unknown,unknown,PAINKILLER
